Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
Martín Berasategui;Loidi 4, Lasarte - Oria, 20160, Spain;Lasarte - Oria; Spain;€€€€;100;Creative;-2.0157211;43.2669352;NO;SI;https://www.martinberasategui.com/es/inicio;3 Stars;Air conditioning,Car park,Interesting wine list,Terrace
Lasarte;Mallorca 259, Barcelona, 08008, Spain;Barcelona; Spain;€€€€;100;Creative;2.1622018;41.3936278;SI;NO;https://www.restaurantlasarte.com/;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
ABaC;Avenida del Tibidabo 1, Barcelona, 08022, Spain;Barcelona; Spain;€€€€;100;Creative;2.1367664;41.4103822;NO;NO;https://abacrestaurant.com;3 Stars;Air conditioning,Interesting wine list,Terrace
Disfrutar;Villarroel 163, Barcelona, 08036, Spain;Barcelona; Spain;€€€€;100;Creative;2.1530369;41.3879756;NO;NO;https://www.disfrutarbarcelona.com/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Arzak;Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain;Donostia / San Sebastián; Spain;€€€€;100;Creative, Traditional Cuisine;-1.9490932;43.3214016;SI;NO;http://www.arzak.es;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
Cocina Hermanos Torres;Taquígraf Serra 20, Barcelona, 08029, Spain;Barcelona; Spain;€€€€;100;Creative;2.1400168;41.3865273;NO;SI;http://www.cocinahermanostorres.com;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Ultraviolet by Paul Pairet;'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F, Bund 18, 18 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Innovative;121.48509;31.240358;SI;NO;https://uvbypp.cc/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Taian Table;101-102, Building No. 1, Garden Office, No.161, Lane 465, Zhenning Road, Changning, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Innovative;121.474049;31.221807;SI;SI;https://sh.taian-table.cn;3 Stars;Air conditioning,Car park,Counter dining,Interesting wine list,Restaurant offering vegetarian menus
Casa Perbellini 12 Apostoli;vicolo Corticella San Marco 3, Verona, 37121, Italy;Verona; Italy;€€€€;100;Creative, Contemporary;10.9961161;45.4426941;SI;NO;http://www.casaperbellini.com;3 Stars;Air conditioning,Counter dining,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Le Calandre;via Liguria 1, località Sarmeola, Rubano, 35030, Italy;Rubano; Italy;€€€€;100;Creative, Contemporary;11.8096633;45.4215425;SI;NO;httpss://alajmo.it;3 Stars;Air conditioning,Car park,Interesting wine list
Enrico Bartolini al Mudec;via Tortona 56, Milan, 20144, Italy;Milan; Italy;€€€€;100;Creative;9.161865;45.4516;SI;SI;http://www.enricobartolini.net;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
Uliassi;banchina di Levante 6, Senigallia, 60019, Italy;Senigallia; Italy;€€€€;100;Creative, Seafood;13.2206503;43.7194609;SI;SI;http://www.uliassi.com;3 Stars;Air conditioning,Great view,Interesting wine list,Terrace
Enoteca Pinchiorri;via Ghibellina 87, Florence, 50122, Italy;Florence; Italy;€€€€;100;Italian Contemporary;11.2621974;43.770066;SI;NO;http://www.enotecapinchiorri.com;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace
Atelier Moessmer Norbert Niederkofler;via Walther Von der Vogelweide 17, Brunico, 39031, Italy;Brunico; Italy;€€€€;100;Creative, Alpine;11.949283;46.7927709;SI;SI;https://ateliernorbertniederkofler.com/moessmer/;3 Stars;Car park,Counter dining,Garden or park,Interesting wine list
Villa Crespi;via Fava 18, Orta San Giulio, 28016, Italy;Orta San Giulio; Italy;€€€€;100;Creative, Mediterranean Cuisine;8.4159486;45.7964778;SI;SI;http://www.villacrespi.it;3 Stars;Air conditioning,Car park,Garden or park,Interesting wine list,Wheelchair access
Quattro Passi;via Vespucci 13/n, Marina del Cantone, 80061, Italy;Marina del Cantone; Italy;€€€€;100;Mediterranean Cuisine, Contemporary;14.3537561;40.5857091;SI;NO;https://www.ristorantequattropassi.it/it/quattro-passi/;3 Stars;Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace
La Pergola;via Cadlolo 101, Rome, 00136, Italy;Rome; Italy;€€€€;100;Mediterranean Cuisine, Contemporary;12.4461151;41.9187946;SI;NO;https://romecavalieri.com/it/la-pergola-it/;3 Stars;Air conditioning,Car park,Great view,Interesting wine list,Terrace,Wheelchair access
