Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
Nakatani;27 rue Pierre-Leroux, Paris, 75007, France;Paris; France;€€€€;100;Modern Cuisine;2.3196445;48.8482237;SI;SI;http://www.restaurant-nakatani.com;1 Star;Air conditioning
Le Feuillée - Le Couvent des Minimes;Chemin des Jeux-de-Maï, Mane, 04300, France;Mane; France;€€€€;100;Modern Cuisine;5.7723757;43.9395915;SI;NO;https://www.couventdesminimes-hotelspa.com/;1 Star;Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access
Ithurria;218 Karrika Nagusia, Ainhoa, 64250, France;Ainhoa; France;€€€;70;Modern Cuisine;-1.4992206;43.3079451;NO;SI;https://www.ithurria.com/;1 Star;Air conditioning,Car park,Garden or park,Interesting wine list,Wheelchair access
Le Puits du Trésor;21 route des Quatre-Châteaux, Lastours, 11600, France;Lastours; France;€€€;70;Modern Cuisine;2.3787415;43.3346453;NO;NO;https://lepuitsdutresor.com;1 Star;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
La Table de la Ferme;Domaine de Murtoli, Vallée de l'Ortolo, Sartène, 20100, France;Sartène; France;€€€€;100;Modern Cuisine, Corsican;8.9469027;41.5229756;SI;NO;https://www.murtoli.com/;1 Star;Car park,Garden or park,Great view,Interesting wine list,Terrace
Auberge de l'Abbaye;47 place des Anciens-Combattants, Ambronay, 01500, France;Ambronay; France;€€€€;100;Modern Cuisine;5.3605085;46.0070045;NO;NO;http://www.aubergedelabbaye-ambronay.com;1 Star;Air conditioning,Interesting wine list,Wheelchair access
La Chassagnette;Route du Sambuc, Le Sambuc, 13200, France;Le Sambuc; France;€€€€;100;Creative;4.6683735;43.5677811;SI;SI;https://www.chassagnette.fr/;1 Star;Air conditioning,Car park,Garden or park,Restaurant offering vegetarian menus,Terrace,Wheelchair access
Le Farçon;Immeuble Kalinka, La Tania, Courchevel, 73120, France;Courchevel; France;€€€€;100;Modern Cuisine;6.5938711;45.4315173;SI;SI;https://www.lefarcon.fr/;1 Star;Great view,Interesting wine list,Terrace
Le P'tit Polyte;Chalet Mounier, 2 rue de la Chapelle, Les Deux-Alpes, 38860, France;Les Deux-Alpes; France;€€€€;100;Modern Cuisine;6.120844;45.0036431;NO;NO;https://www.chalet-mounier.com/;1 Star;Garden or park,Interesting wine list,Restaurant offering vegetarian menus
Au Gourmet;4 route de Herrlisheim, Drusenheim, 67410, France;Drusenheim; France;€€€;70;Modern Cuisine;7.9485905;48.7516602;NO;SI;https://www.au-gourmet.fr/;1 Star;Car park,Garden or park
Le Haut-Allier;1 avenue de la Gare (Le Pont d'Alleyras), Alleyras, 43580, France;Alleyras; France;€€€;70;Modern Cuisine;3.67271;44.9183;NO;SI;https://www.hotel-lehautallier.com;1 Star;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus
Ivan Vautier;3 avenue Henry-Chéron, Caen, 14000, France;Caen; France;€€€;70;Modern Cuisine;-0.3904722;49.1741478;NO;NO;https://www.ivanvautier.com/;1 Star;Air conditioning,Car park,Terrace,Wheelchair access
Atmosphères;618 route des Tournelles, Le Bourget-du-Lac, 73370, France;Le Bourget-du-Lac; France;€€€€;100;Creative;5.8522537;45.6606861;NO;SI;https://www.atmospheres-hotel.com;1 Star;Car park,Garden or park,Great view,Interesting wine list,Terrace,Wheelchair access
Le Moulin de l'Abbaye;1 route de Bourdeilles, Brantôme, 24310, France;Brantôme; France;€€€;70;Modern Cuisine;0.6462835;45.3631;NO;NO;https://www.moulinabbaye.com/;1 Star;Car park,Garden or park,Great view,Terrace
Côté Cuisine;36 avenue Zacharie-Le-Rouzic, Carnac, 56340, France;Carnac; France;€€€;70;Modern Cuisine;-3.0786985;47.5797015;SI;NO;https://www.lannroz.fr/fr/hotel-restaurant-carnac-morbihan;1 Star;Car park,Terrace,Wheelchair access
Le Duèze - Château de Mercuès;Route du Château, Mercuès, 46090, France;Mercuès; France;€€€€;100;Modern Cuisine;1.3947504;44.4963194;NO;NO;https://chateaudemercues.com;1 Star;Air conditioning,Car park,Garden or park,Interesting wine list,Terrace
La Table Breizh Café;7 quai Thomas, Cancale, 35260, France;Cancale; France;€€€€;100;Modern Cuisine;-1.8517181;48.6708737;SI;SI;https://www.breizhcafe.com/;1 Star;Air conditioning,Great view
Rouge;Margaret - Hôtel Chouleur, 6 rue Fresque, Nîmes, 30000, France;Nîmes; France;€€€€;100;Creative;4.35788;43.83717;SI;SI;http://www.margaret-hotelchouleur.com;1 Star;Air conditioning,Interesting wine list,Terrace,Wheelchair access
Ô Saveurs;8 place des Ormeaux, Rouffiac-Tolosan, 31180, France;Rouffiac-Tolosan; France;€€€;70;Modern Cuisine;1.524975;43.664;NO;SI;https://www.o-saveurs.com/;1 Star;Air conditioning,Interesting wine list,Terrace
Émilie & Thomas - Moulin de Cambelong;61 lieu-dit Cambelong, Conques-en-Rouergue, 12320, France;Conques-en-Rouergue; France;€€€;70;Modern Cuisine;2.3952417;44.5937114;NO;NO;http://www.moulindecambelong.com;1 Star;Air conditioning,Car park,Interesting wine list
Ezia;17 rue de Chambord, Montlivault, 41350, France;Montlivault; France;€€€;70;Modern Cuisine;1.4452295;47.641088;SI;NO;https://www.ezia-restaurant.fr;1 Star;Air conditioning,Wheelchair access
Restaurant Hervé Busset;24 place du Bourg, Rodez, 12000, France;Rodez; France;€€€;70;Modern Cuisine;2.5758132;44.3484736;SI;NO;https://restaurant-herve-busset.fr;1 Star;Air conditioning,Interesting wine list,Wheelchair access
La Bastide Bourrelly - Mathias Dandine;Place Albert-Florens, Cabriès, 13480, France;Cabriès; France;€€€€;100;Provençal;5.3534389;43.4610152;NO;NO;https://labastidebourrelly.com;1 Star;Air conditioning,Car park,Terrace,Wheelchair access
Auberge de la Mine;8 rue de Champsecret, La Ferrière-aux-Étangs, 61450, France;La Ferrière-aux-Étangs; France;€€€;70;Classic Cuisine;-0.5220022;48.6468685;SI;SI;https://www.aubergedelamine.com/;1 Star;Car park
Têtedoie;4 rue Professeur-Pierre-Marion, Lyon, 69005, France;Lyon; France;€€€€;100;Creative;4.8233917;45.7590732;SI;SI;https://tetedoie.com/;1 Star;Air conditioning,Great view,Interesting wine list,Valet parking,Wheelchair access
La Table de la Bergerie;3 route de la Pierre, Bellevigne-en-Layon, 49380, France;Bellevigne-en-Layon; France;€€€;70;Modern Cuisine, Farm to table;-0.59238;47.26803;SI;SI;http://www.latable-bergerie.fr;1 Star;Air conditioning,Car park,Wheelchair access
Datil;13 rue des Gravilliers, Paris, 75003, France;Paris; France;€€€€;100;Modern Cuisine;2.3572627;48.8636089;SI;SI;http://www.datil-restaurant.fr;1 Star;
Géosmine;71 rue de la Folie-Méricourt, Paris, 75011, France;Paris; France;€€€€;100;Creative, Modern Cuisine;2.3705908;48.8655091;SI;NO;http://www.geosmine.com;1 Star;Air conditioning,Interesting wine list,Wheelchair access
Blanc;52 rue de Longchamp, Paris, 75116, France;Paris; France;€€€€;100;Creative;2.2874808;48.8651172;NO;NO;https://blanc-paris.com/;1 Star;Air conditioning,Interesting wine list
La Verrière;Hôtel Marinca, lieu-dit Vitricella, Olmeto, 20113, France;Olmeto; France;€€€€;100;Modern Cuisine;8.9026942;41.6913523;NO;SI;https://www.hotel-marinca.com/;1 Star;Car park,Great view,Terrace
La Chaumière;346 avenue du Maréchal-Juin, Dole, 39100, France;Dole; France;€€€€;100;Creative;5.4951285;47.065097;SI;SI;https://www.lachaumiere-dole.fr/fr/;1 Star;Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Terrace
Baumanière 1850;Le Strato, Route de Bellecôte, Courchevel 1850, Courchevel, 73120, France;Courchevel; France;€€€€;100;Creative;6.6380783;45.4102934;NO;NO;https://www.hotelstrato.com/;1 Star;Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Château de Pray;Rue du Cèdre, à Chargé, Amboise, 37530, France;Amboise; France;€€€;70;Modern Cuisine;1.0160758;47.424971;SI;SI;https://www.chateaudepray.fr/;1 Star;Car park,Garden or park,Restaurant offering vegetarian menus,Terrace
Le Goût du Bonheur - La Fenière;1680 route de Lourmarin, Cadenet, 84160, France;Cadenet; France;€€€€;100;Creative, Farm to table;5.3642746;43.7487002;NO;SI;https://www.aubergelafeniere.com/;1 Star;Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace
Les Voiles d'Or;2 chemin de la Falaise, à Neuville-lès-Dieppe, Dieppe, 76200, France;Dieppe; France;€€€;70;Modern Cuisine, Seafood;1.0893938;49.9320387;SI;SI;https://www.lesvoilesdor.fr/;1 Star;Terrace,Wheelchair access
Auberge de la Charme;12 rue de la Charme, Prenois, 21370, France;Prenois; France;€€€;70;Creative;4.8989819;47.3758124;NO;SI;http://www.aubergedelacharme.com/fr;1 Star;Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
L'Esquisse;21 rue Royale, Annecy, 74000, France;Annecy; France;€€€€;100;Modern Cuisine;6.12235;45.89973;NO;SI;https://www.esquisse-annecy.fr/;1 Star;Air conditioning
Pierre Reboul;Château de la Pioline, 260 rue Guillaume-du-Vair, Aix-en-Provence, 13290, France;Aix-en-Provence; France;€€€€;100;Creative;5.4047211;43.5084768;SI;SI;https://www.chateaudelapioline.com;1 Star;Car park,Garden or park,Interesting wine list,Terrace
Le Prieuré;11 rue de la Mairie, Ambierle, 42820, France;Ambierle; France;€€€;70;Modern Cuisine;3.8962412;46.1039302;NO;SI;https://www.leprieureambierle.fr/;1 Star;Air conditioning,Wheelchair access
L'Essentiel;29 rue Mirabeau, Deauville, 14800, France;Deauville; France;€€€;70;Modern Cuisine, Creative;0.079443;49.3600044;NO;NO;http://www.lessentieldeauville.com/;1 Star;Air conditioning,Terrace,Wheelchair access
Maximin Hellio;64 rue Gambetta, Deauville, 14800, France;Deauville; France;€€€€;100;Modern Cuisine;0.0770849;49.3592817;NO;NO;https://www.maximinhellio.fr/;1 Star;Air conditioning,Interesting wine list,Wheelchair access
Nicolas Carro - Hôtel de Carantec;20 rue du Kelenn, Carantec, 29660, France;Carantec; France;€€€€;100;Modern Cuisine, Creative;-3.9127356;48.6706639;NO;SI;https://www.hotel-carantec.fr/;1 Star;Car park,Garden or park,Great view
Les Genêts;21 bis rue de l'Océan, Brem-sur-Mer, 85470, France;Brem-sur-Mer; France;€€€;70;Creative;-1.8350415;46.605894;SI;NO;https://www.restaurant-les-genets.fr/;1 Star;Garden or park,Terrace,Wheelchair access
La Rotonde des Trésoms;Les Trésoms, 15 boulevard de la Corniche, Annecy, 74000, France;Annecy; France;€€€€;100;Modern Cuisine;6.1366994;45.8896367;SI;NO;https://www.lestresoms.com/;1 Star;Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Maison Tiegezh;7 place de la Gare, Guer, 56380, France;Guer; France;€€€;70;Modern Cuisine;-2.1235452;47.9056281;SI;NO;https://maisontiegezh.fr/fr/;1 Star;Air conditioning,Car park,Wheelchair access
Jean-Marc Pérochon;63 avenue de la Grande-Roche, Bretignolles-sur-Mer, 85470, France;Bretignolles-sur-Mer; France;€€€;70;Modern Cuisine;-1.87165;46.61923;NO;SI;http://www.lesbrisants.com;1 Star;Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access
Cueillette;3 La Raufie, Altillac, 19120, France;Altillac; France;€€€;70;Modern Cuisine;1.8560131;44.9474128;SI;NO;https://restaurant-cueillette.fr/;1 Star;Car park,Garden or park,Wheelchair access
L'Hirondelle - Château de Collias;8 bis chemin du Barry, Collias, 30210, France;Collias; France;€€€€;100;Modern Cuisine;4.4767976;43.9532821;NO;SI;http://www.chateaudecollias.fr;1 Star;Car park,Garden or park,Terrace,Wheelchair access
L'Émulsion;57 route de Lyon, lieu-dit La Grive, Saint-Alban-de-Roche, 38080, France;Saint-Alban-de-Roche; France;€€€€;100;Modern Cuisine;5.2312885;45.598532;SI;NO;http://www.lemulsion-restaurant.com;1 Star;Car park,Interesting wine list
La Table d'Olivier;3 rue Saint-Ambroise, Brive-la-Gaillarde, 19100, France;Brive-la-Gaillarde; France;€€€;70;Modern Cuisine;1.5308409;45.158952;NO;SI;;1 Star;Air conditioning,Restaurant offering vegetarian menus,Wheelchair access
Ōrtensia;4 rue Beethoven, Paris, 75016, France;Paris; France;€€€€;100;Modern Cuisine;2.2875568;48.8584133;SI;NO;http://www.restaurantortensia.com;1 Star;Air conditioning
La Coopérative - Domaine Riberach;2 route de Caladroy, Bélesta, 66720, France;Bélesta; France;€€€;70;Creative;2.6073514;42.7181258;SI;SI;https://www.riberach.com;1 Star;Car park,Garden or park,Great view,Interesting wine list,Terrace,Wheelchair access
Ressources;126 rue Fondaudège, Bordeaux, 33000, France;Bordeaux; France;€€€;70;Modern Cuisine;-0.5837068;44.8489572;SI;NO;https://restaurantressources.com/;1 Star;Air conditioning,Interesting wine list,Wheelchair access
de:ja;1 rue Schimper, Strasbourg, 67000, France;Strasbourg; France;€€€€;100;Creative;7.7685673;48.5873652;NO;SI;http://www.deja-restaurant.com;1 Star;Air conditioning
L'Impulsif;19 avenue Baraduc, Châtel-Guyon, 63140, France;Châtel-Guyon; France;€€€;70;Creative;3.0660287;45.9196471;NO;SI;http://www.limpulsif-restaurant.com;1 Star;
Intuition;1 rue Alsace-Lorraine, Saint-Lô, 50000, France;Saint-Lô; France;€€€;70;Modern Cuisine;-1.0985834;49.1144055;NO;NO;http://www.restaurant-intuition.fr;1 Star;
Les Cadets;15 rue des Hauts-Pavés, Nantes, 44000, France;Nantes; France;€€€;70;Modern Cuisine;-1.5633177;47.22273;SI;SI;http://www.restaurantlescadets.fr;1 Star;Interesting wine list,Terrace,Wheelchair access
Apicius;20 rue d'Artois, Paris, 75008, France;Paris; France;€€€€;100;Modern Cuisine;2.3072835;48.8732881;SI;NO;https://restaurant-apicius.com/;1 Star;Air conditioning,Garden or park,Interesting wine list,Terrace,Valet parking
Le 1201 - Abbaye de Villeneuve;Lieu-dit Villeneuve, Les Sorinières, 44840, France;Les Sorinières; France;€€€€;100;Modern Cuisine;-1.5338567;47.1232859;SI;SI;https://www.abbayedevilleneuve.com/restaurant/;1 Star;Air conditioning,Car park,Garden or park,Interesting wine list,Valet parking,Wheelchair access
Le Saint Hilaire;5 rue André-Schenk, Saint-Hilaire-de-Brethmas, 30560, France;Saint-Hilaire-de-Brethmas; France;€€€;70;Modern Cuisine;4.1055495;44.0991009;NO;SI;http://www.lesainthilairebysebastienrath.com;1 Star;Car park,Terrace,Wheelchair access
Maison Dubois;2 rue de Vienne, Paris, 75008, France;Paris; France;€€€€;100;Modern Cuisine;2.321206;48.8762472;NO;SI;https://maisonduboisparis.fr/;1 Star;Air conditioning
Hémicycle;5 rue de Bourgogne, Paris, 75007, France;Paris; France;€€€€;100;Modern Cuisine;2.3182962;48.8600034;SI;SI;http://www.hemicycle.paris;1 Star;Air conditioning,Interesting wine list,Wheelchair access
Nacre;3 bis rue Sophie-et-Paul-Wallerstein, Arès, 33740, France;Arès; France;€€€;70;Modern Cuisine;-1.1401852;44.7662756;NO;NO;https://www.restaurant-nacre.com/;1 Star;Air conditioning,Wheelchair access
Calice;30 boulevard Bertrand-Duguesclin, Béziers, 34500, France;Béziers; France;€€€;70;Modern Cuisine;3.2232426;43.3435711;SI;SI;http://www.restaurantcalice.fr;1 Star;Air conditioning,Interesting wine list,Terrace,Wheelchair access
The Legacy House;5F, Rosewood Hotel, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Shun Tak;114.1757655;22.2950422;SI;SI;https://www.rosewoodhotels.com/en/hong-kong/dining/the-legacy-house;1 Star;Air conditioning,Car park,Counter dining,Great view,Terrace,Valet parking,Wheelchair access
Zuicho;GF, The Mercer Central, 29 Jervois Street, Sheung Wan, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;Japanese;114.15209;22.285076;NO;SI;https://zuicho-kappo.com;1 Star;Air conditioning,Counter dining,Wheelchair access
Ryota Kappou Modern;21F,  18 On Lan Street, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Japanese;114.156779;22.2806182;SI;NO;https://www.ryota.hk;1 Star;Air conditioning,Counter dining,Notable sake list,Wheelchair access
Louise;PMQ, 35 Aberdeen Street, Central, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$;70;French Contemporary;114.1522258;22.2834752;SI;SI;https://www.louise.hk;1 Star;Air conditioning,Brunch,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Terrace
Five Foot Road;GF, MGM Cotai, Avenida da Nave Desportiva, Cotai, Macau;Macau;;$$;20;Sichuan;113.5680458;22.1457276;SI;SI;https://www.mgm.mo/en/cotai/dining/five-foot-road;1 Star;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
Zi Yat Heen;GF, Four Seasons Hotel, Estrada da Baía de Nossa Senhora da Esperança, Cotai, Macau;Macau;;$$$;70;Cantonese;113.556615;22.15029;SI;SI;https://www.fourseasons.com/macau/dining/restaurants/zi_yat_heen/;1 Star;Air conditioning,Interesting wine list,Valet parking,Wheelchair access
Seventh Son (Wan Chai);3F, The Wharney Hotel, 57-73 Lockhart Road, Wan Chai, Hong Kong;Hong Kong; Hong Kong SAR China;$$;20;Cantonese;114.1710507;22.2783246;NO;NO;https://www.seventhson.hk;1 Star;Air conditioning,Car park,Valet parking,Wheelchair access
Sushi Saito;45F, Four Seasons Hotel, 8 Finance Street, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;Sushi;114.15677;22.286467;SI;NO;https://globallink.com.hk/our-brands/sushi-saito;1 Star;Air conditioning,Car park,Counter dining,Valet parking,Wheelchair access
Liu Yuan Pavilion;3F, The Broadway, 54-62 Lockhart Road, Wan Chai, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$;20;Shanghainese;114.1707918;22.2781199;NO;SI;;1 Star;Air conditioning,Valet parking
Hansik Goo;1F, The Wellington, 198 Wellington Street, Central, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$$;100;Korean;114.1528913;22.2850215;SI;SI;https://www.hansikgoo.hk;1 Star;Air conditioning,Interesting wine list,Wheelchair access
Belon;1F, 1-5 Elgin Street, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;French Contemporary;114.1525511;22.2830193;NO;SI;https://belonsoho.com;1 Star;Air conditioning,Counter dining,Interesting wine list
Gaddi's;1F, The Peninsula Hotel, Salisbury Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;French;114.17179;22.294992;NO;NO;https://www.peninsula.com/en/hong-kong/hotel-fine-dining/gaddis-french-restaurant;1 Star;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
Mandarin Grill + Bar;1F, Mandarin Oriental Hotel, 5 Connaught Road Central, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;European Contemporary, Grills;114.1593485;22.2821483;NO;NO;https://www.mandarinoriental.com/en/hong-kong/victoria-harbour/dine/mandarin-grill-and-bar;1 Star;Air conditioning,Counter dining,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Duddell's;3F, 1 Duddell Street, Central, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.1572052;22.2801227;NO;SI;https://www.duddells.co/home/en;1 Star;Air conditioning,Brunch,Interesting wine list,Wheelchair access
Épure;Shop 403, 4F, Ocean Centre, Harbour City, 3-27 Canton Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;French Contemporary;114.1683295;22.2960349;SI;SI;http://www.epure.hk;1 Star;Air conditioning,Brunch,Car park,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access
Man Ho (Admiralty);3F, JW Marriott Hotel, Pacific Place, 88 Queensway, Admiralty, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.1659424;22.2776712;SI;NO;https://www.marriott.com/en-us/dining/restaurant-bar/hkgdt-jw-marriott-hotel-hong-kong/5308052-man-ho-chinese-restaurant.mi;1 Star;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
Cristal Room by Anne-Sophie Pic;44F, Forty-Five, Gloucester Tower, Landmark, 15 Queen's Road Central, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;French Contemporary;114.1576425;22.2811256;NO;SI;https://cristalroombyasp.com/;1 Star;Air conditioning,Great view,Interesting wine list,Valet parking,Wheelchair access
Yè Shanghai (Tsim Sha Tsui);702, 7F, K11 Musea, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$;20;Shanghainese;114.1741651;22.294118;NO;SI;https://www.elite-concepts.com/home/main/en;1 Star;Air conditioning,Car park,Restaurant offering vegetarian menus,Wheelchair access
Andō;1F, Somptueux Central, 52-54 Wellington Street, Central, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$;70;Innovative;114.1553834;22.2817911;NO;NO;https://www.andohk.com;1 Star;Air conditioning,Interesting wine list,Wheelchair access
Yardbird;154-158 Wing Lok Street, Sheung Wan, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$;20;Yakitori;114.1492298;22.2869992;SI;SI;https://yardbirdrestaurant.com;1 Star;Air conditioning,Counter dining,Interesting wine list
Shang Palace;Lower Level 1, Kowloon Shangri-La Hotel, 64 Mody Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.177155;22.297325;SI;SI;https://www.shangri-la.com/hongkong/kowloonshangrila/dining/restaurants/shang-palace/;1 Star;Air conditioning,Valet parking,Wheelchair access
Spring Moon;1F, The Peninsula Hotel, Salisbury Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.17182;22.294943;NO;NO;https://www.peninsula.com/en/hong-kong/hotel-fine-dining/spring-moon-cantonese;1 Star;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
8 1/2 Otto e Mezzo - Bombana;Shop 1031, 1F, The Promenade, Galaxy, Avenida de Cotai, Cotai, Macau;Macau;;$$$;70;Italian;113.5553965;22.1465088;SI;NO;https://www.ottoemezzobombana.com/;1 Star;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
I M Teppanyaki & Wine;1F, SL Ginza, 68 Electric Road, Tin Hau, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$$;100;Teppanyaki;114.1918676;22.2841392;NO;NO;https://www.imteppanyaki.com;1 Star;Air conditioning,Counter dining,Wheelchair access
Fu Ho;Shop 402, 4F, FoodLoft, Mira Place One, 132 Nathan Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.1720828;22.3006247;SI;NO;https://www.fuho.com.hk;1 Star;Air conditioning,Car park,Wheelchair access
Tosca di Angelo;102F, The Ritz-Carlton, International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$;70;Italian;114.1599308;22.3032095;NO;SI;https://www.toscadiangelo.com/;1 Star;Air conditioning,Brunch,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Loaf On;49 See Cheung Street, Sai Kung, Hong Kong;Hong Kong; Hong Kong SAR China;$$;20;Seafood;114.27188;22.379858;SI;NO;https://loafon.com/en/;1 Star;Air conditioning
Kam's Roast Goose;GF, Po Wah Commercial Center, 226 Hennessy Road, Wan Chai, Hong Kong;Hong Kong; Hong Kong SAR China;$$;20;Cantonese Roast Meats;114.1755582;22.2777963;NO;SI;https://www.krg.com.hk;1 Star;Air conditioning,Wheelchair access
Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui);10F, One Peking, 1 Peking Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$;20;Cantonese;114.170006;22.296177;NO;SI;https://www.imperialtreasure.com/hk;1 Star;Air conditioning,Car park,Great view
Summer Palace;5F, Island Shangri-La Hotel, Pacific Place, Supreme Court Road, Admiralty, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.1644721;22.2770061;SI;NO;https://www.shangri-la.com/hongkong/islandshangrila/dining/restaurants/summer-palace/;1 Star;Air conditioning,Car park,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Lai Heen;51F, The Ritz-Carlton, Galaxy, Estrada da Baía de Nossa Senhora da Esperança, Cotai, Macau;Macau;;$$$;70;Cantonese;113.5547147;22.1464658;SI;NO;https://www.laiheenmacau.com;1 Star;Air conditioning,Car park,Great view,Interesting wine list,Valet parking,Wheelchair access
Whey;UG Level, The Wellington, 198 Wellington Street, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;Asian Contemporary;114.1529127;22.2850438;NO;SI;http://www.whey.hk;1 Star;Air conditioning,Counter dining,Interesting wine list,Wheelchair access
Ming Court (Mong Kok);6F, Cordis Hotel, 555 Shanghai Street, Mong Kok, Hong Kong, Hong Kong SAR China;Hong Kong; Hong Kong SAR China;$$$;70;Cantonese;114.16933;22.318314;NO;NO;https://www.cordishotels.com/en/hong-kong/dine/ming-court/;1 Star;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
Ying;11F, Altira Hotel, Avenida de Kwong Tung, Taipa, Macau;Macau;;$$$;70;Cantonese;113.5551252;22.1619565;NO;SI;https://www.altiramacau.com/tc/dining/Ying#All;1 Star;Air conditioning,Car park,Great view,Interesting wine list,Valet parking,Wheelchair access
Godenya;UG, 182 Wellington Street, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;Japanese;114.1530901;22.28471;NO;SI;https://www.godenya.com;1 Star;Air conditioning,Counter dining
Roganic;Shop 8, UG Level, Sino Plaza, 255 Gloucester Road, Causeway Bay, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;European Contemporary;114.1821991;22.2813924;NO;SI;https://www.roganic.com.hk;1 Star;Air conditioning,Car park,Counter dining
Sun Tung Lok;Shop 401, L4, FoodLoft, Mira Place One, 132 Nathan Road, Tsim Sha Tsui, Hong Kong;Hong Kong; Hong Kong SAR China;$$;20;Cantonese;114.17221;22.30099;NO;SI;https://www.suntunglok.com.hk;1 Star;Air conditioning,Car park,Wheelchair access
Petrus;56F, Island Shangri-La Hotel, Pacific Place, Supreme Court Road, Admiralty, Hong Kong;Hong Kong; Hong Kong SAR China;$$$;70;French;114.16434;22.27746;NO;SI;https://www.shangri-la.com/hongkong/islandshangrila/dining/restaurants/restaurant-petrus;1 Star;Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Zhejiang Heen;1-3F, ZJ 300, 300-306 Lockhart Road, Wan Chai, Hong Kong;Hong Kong; Hong Kong SAR China;$$;20;Zhejiang;114.17763;22.2787;SI;NO;https://www.zhejiangheen.com;1 Star;Air conditioning,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Vea;30F, The Wellington, 198 Wellington Street, Central, Hong Kong;Hong Kong; Hong Kong SAR China;$$$$;100;Innovative;114.1529424;22.2850013;SI;SI;https://vea.hk;1 Star;Air conditioning,Counter dining,Restaurant offering vegetarian menus,Wheelchair access
